ga_pop_size,ga_elite_frac,ga_mutation_rate,ga_tournament_k,ga_generations_per_step,ga_crossover_rate,ga_sat_mean,ga_sat_std,ga_sat_ci_lo,ga_sat_ci_hi,ga_time_mean_s,ga_time_std_s,ga_time_ci_lo_s,ga_time_ci_hi_s,ablation
40,0.15,0.01,3,4,0.9,0.904,0.002,0.903,0.905,0.03,0.0,0.03,0.03,ga_pop_size
80,0.15,0.01,3,4,0.9,0.912,0.002,0.911,0.913,0.06,0.0,0.05,0.06,ga_pop_size
160,0.15,0.01,3,4,0.9,0.919,0.001,0.918,0.92,0.11,0.0,0.11,0.11,ga_pop_size
80,0.05,0.01,3,4,0.9,0.914,0.002,0.913,0.915,0.06,0.0,0.06,0.06,ga_elite_frac
80,0.15,0.01,3,4,0.9,0.913,0.002,0.912,0.914,0.06,0.0,0.06,0.06,ga_elite_frac
80,0.3,0.01,3,4,0.9,0.911,0.002,0.909,0.912,0.05,0.0,0.05,0.05,ga_elite_frac
80,0.15,0.001,3,4,0.9,0.895,0.003,0.893,0.897,0.05,0.0,0.05,0.05,ga_mutation_rate
80,0.15,0.01,3,4,0.9,0.912,0.001,0.911,0.912,0.06,0.0,0.06,0.06,ga_mutation_rate
80,0.15,0.05,3,4,0.9,0.925,0.001,0.924,0.926,0.06,0.0,0.06,0.06,ga_mutation_rate
80,0.15,0.01,2,4,0.9,0.915,0.001,0.915,0.916,0.06,0.0,0.05,0.06,ga_tournament_k
80,0.15,0.01,3,4,0.9,0.912,0.002,0.911,0.913,0.06,0.0,0.05,0.06,ga_tournament_k
80,0.15,0.01,7,4,0.9,0.906,0.003,0.905,0.908,0.06,0.0,0.06,0.06,ga_tournament_k
80,0.15,0.01,3,1,0.9,0.917,0.002,0.916,0.919,0.01,0.0,0.01,0.01,ga_generations_per_step
80,0.15,0.01,3,4,0.9,0.911,0.001,0.91,0.911,0.06,0.0,0.06,0.06,ga_generations_per_step
80,0.15,0.01,3,8,0.9,0.91,0.002,0.908,0.911,0.11,0.0,0.11,0.11,ga_generations_per_step
80,0.15,0.01,3,4,0.0,0.905,0.001,0.904,0.906,0.05,0.0,0.05,0.05,ga_crossover_rate
80,0.15,0.01,3,4,0.5,0.91,0.002,0.908,0.911,0.05,0.0,0.05,0.05,ga_crossover_rate
80,0.15,0.01,3,4,0.9,0.912,0.002,0.911,0.913,0.06,0.0,0.05,0.06,ga_crossover_rate
